ID,grdient_l,grdient_r
0,-0.0017,0.01877
1,-0.00192,0.01836
2,-0.00179,0.01941
3,-0.0018,0.01855
4,-0.00057,0.01871
5,-0.00194,0.01889
6,0.00041,0.02102
7,0.00041,0.02102
8,-0.00177,0.02243
9,0.07289,0.0221
10,0.12543,0.02248
11,0.13229,0.02253
12,0.16405,0.02161
13,0.18679,0.02195
14,0.23793,0.02112
15,0.24415,0.02047
16,0.34482,0.02048
17,0.33225,0.02061
18,0.33225,0.02061
19,0.66027,0.02102
20,1e-05,0.02264
21,1e-05,0.02254
22,1e-05,0.02078
23,1e-05,0.02078
24,1e-05,0.02023
25,1e-05,0.01733
26,1e-05,0.01733
27,1e-05,0.01486
28,1e-05,0.0174
29,1e-05,0.0174
30,1e-05,0.02225
31,1e-05,0.01982
32,1e-05,0.01982
33,1e-05,0.01982
34,1e-05,0.02043
35,1e-05,0.01962
36,1e-05,0.01962
37,1e-05,0.0195
38,1e-05,0.0195
39,1e-05,0.02073
40,1e-05,0.02073
41,1e-05,0.02031
42,1e-05,0.02072
43,1e-05,0.02072
44,1e-05,0.02086
45,1e-05,0.02127
46,1e-05,0.02127
47,1e-05,0.02051
48,1e-05,0.02051
49,1e-05,0.01982
50,1e-05,0.01982
51,1e-05,0.02015
52,1e-05,0.02015
53,1e-05,0.02081
54,1e-05,0.01999
55,1e-05,0.019
56,1e-05,0.02029
57,1e-05,0.02112
58,1e-05,0.01952
59,1e-05,0.02035
60,1e-05,0.02084
61,1e-05,0.02003
62,1e-05,0.0206
63,1e-05,0.01995
64,1e-05,0.01995
65,1e-05,0.02053
66,1e-05,0.02087
67,1e-05,0.02038
68,1e-05,0.01928
69,1e-05,0.02017
70,1e-05,0.02017
71,1e-05,0.02097
72,1e-05,0.02008
73,1e-05,0.01924
74,1e-05,0.01956
75,1e-05,0.02088
76,1e-05,0.0199
77,1e-05,0.01989
78,1e-05,0.02048
79,1e-05,0.02036
80,1e-05,0.02116
81,1e-05,0.02116
82,1e-05,0.01956
83,1e-05,0.01975
84,1e-05,0.01975
85,1e-05,0.02142
86,1e-05,0.01982
87,1e-05,0.02053
88,1e-05,0.02068
89,1e-05,0.02059
90,1e-05,0.02122
91,1e-05,0.02122
92,1e-05,0.01981
93,1e-05,0.02005
94,1e-05,0.02096
95,1e-05,0.0205
96,1e-05,0.02035
97,1e-05,0.02035
98,1e-05,0.01896
99,1e-05,0.02003
100,1e-05,0.02004
101,1e-05,0.02004
102,1e-05,0.02051
103,1e-05,0.02005
104,1e-05,0.01989
105,1e-05,0.01995
106,1e-05,0.02018
107,1e-05,0.0198
108,1e-05,0.01963
109,1e-05,0.0201
110,1e-05,0.02064
111,1e-05,0.02023
112,1e-05,0.02023
113,1e-05,0.02039
114,1e-05,0.02039
115,1e-05,0.02085
116,1e-05,0.01993
117,1e-05,0.01981
118,1e-05,0.02023
119,1e-05,0.01975
120,1e-05,0.02136
121,1e-05,0.02001
122,1e-05,0.0199
123,1e-05,0.0205
124,1e-05,0.01951
125,1e-05,0.02001
126,1e-05,0.02036
127,1e-05,0.02082
